biotipológico	tipológico
conciliante	congraçador
desornar-se	enfear-se
rabiar	remorder-se
inconexo	incoerente
assoprado	campanudo
encarregar	recomendar
partição	segmentação
inferiorizar	rebaixar
crenulado	crenífero
noctívago	noturno
atração	desejo
lacunoso	omisso
rubricar	sinalar
explanatório	explanativo
venéfico	venenífero
acaroar	entestar
tachonar	tachear
eclogal	eglogal
fustigador	fustigante
mamparreador	mamparreiro
camba	mucamba
privar-se	reprimir-se
boceta	tabaqueira
lançado	atirado
descontentar-se	desprazer-se
nasalação	nasalização
escavadora	escavador
gozado	desfrutado
desvirtuação	envilecimento
colorante	corante
desconfortativo	desconfortante
desmoderar-se	desregrar-se
abeirar-se	unir-se
vitorioso	vencedor
aramagem	gradeamento
pactual	pactício
anexim	prolóquio
expugnação	subjugação
azulear	azulejar
amornecer	mornar
impressível	abaladiço
vaporar-se	volatilizar-se
tripé	tripeça
bulboso	bulbáceo
desconciliar	inimizar
parlenga	palanfrório
pintalgado	salpintado
enfrondecido	frondente
encastoado	encravado
entranhado	entranhável
axiomântio	axinomântico
sobra	excedente
embernar	bernar
empenhorar-se	fazer
chapa	tabla
exteriorizar-se	externar-se
entica	irritação
troviscada	entroviscada
desencaminhar-se	perverter-se
tributador	atributador
arraiano	fronteiriço
segada	segadura
exultação	júbilo
empolgador	empolgante
enobrecer-se	nobilitar-se
apragatado	prudente
enrugar-se	franzir-se
reiterar	retravar
espoliatório	espoliativo
esgaçar	rasgar
desventrar	esviscerar
dealvar	lavar
delirante	insano
tortura	penitência
palpabilidade	tangibilidade
encafifado	envergonhado
aciculiforme	agulheado
enumerar	enunciar
despojador	espoliante
irrisório	risível
aflição	agonia
bulhento	rumoroso
refrega	tráfego
silhar	silha
homotermal	isotermo
refolhamento	rufo
nacada	pedaço
seduzir	venalizar
núbil	viripotente
ralador	ralo
friso	quebra
necessitado	precisado
enfreado	retido
categoria	posição
laurícomo	laurígero
besouragem	bisbilhotice
paulificante	triste
adstrito	restrito
cauto	previdente
inverneira	invernia
franquear	palrar
desconformar	desencontrar
arquetípico	prototípico
garganteado	trinado
glossário	léxico
derraigado	desarraigado
prenúncio	vaticínio
reportado	mencionado
manante	fluido
imbecilizar-se	idiotar-se
chocarrice	truania
laranjado	laranja
fragalhoteiro	frangalhoteiro
montanhento	montoso
vasconcear	zombetear
rocioso	rórido
filoneísmo	progressismo
desperecimento	fenecimento
definido	divisado
roedura	rilhadura
espiolhar	vasculhar
catitice	coqueteria
retificar	refundir
fruste	frusto
reinfecção	reinfeção
indomado	indomesticado
peça	pirraça
cantante	cantador
octógono	octogonal
estardalhar	estardalhaçar
causa	partido
treler	grulhar
infamar-se	difamar-se
prelibação	antegosto
fátuo	jatancioso
pajem	bá
criptográfico	esteganográfico
roçadura	roçamento
frutuário	frutuoso
bicaudado	bicaudal
convidado	conviva
frutear	frutescer
ratificação	roboração
exsolver-se	solver-se
glutinosidade	gomosidade
lassidão	morbidez
acrofonia	fonetismo
estampado	gravado
serpear	serpejar
entrementes	entretanto
virginizar	purificar
assoar	esmoncar
retificador	retificativo
rebelionar	revolucionar
chagar-se	ulcerar-se
unhaço	unhada
transparente	visível
irreduzível	indecomponível
desvanear	varrer
selvagismo	violência
barbibranco	barbiblanco
abominar-se	aborrecer-se
ancião	macróbio
deliciar	lisonjear
gola	colarinho
presunçoso	vaidoso
inculpação	responsabilização
envergar-se	zumbrir-se
dessecar-se	enxugar-se
justificatório	justificativo
dessangrar	exaustar
ebulidor	mergulhão
desnublado	escampo
formigar	pulular
biossociológico	biossocial
acaiçarado	alarve
sexólogo	sexologista
sovinaria	sovinice
adulteroso	adúltero
reger-se	regrar-se
corrida	tourada
cativar	confinar
olhar-se	ver-se
amasiamento	concubinato
encabulação	enleio
ressalva	restrição
efetuar-se	ocorrer
mascarar-se	transformar-se
escravização	subjugação
desligado	separado
afamilhado	casado
falcatrua	marotagem
apupar	assoviar
rastejamento	rastejo
sabor	tom
meia-máscara	mascarilha
redundante	pleonástico
rocio	zimbro
trincafiar	encelar
enfestoar	festoar
axorca	manilha
enobrecimento	notabilização
bem-apessoado	bem-apanhado
adiante	sucessivamente
recontar	soletrar
traspassar-se	trespassar-se
incendiar	inflamar
cérulo	azul-do-céu
antecipadamente	adiantadamente
exagitar	marfar
desinfetado	desinfeccionado
biscoito	bolacha
duende	trasgo
peste	pestilência
discernir	medir
enfezar-se	importunar-se
lentescer-se	orvalhar-se
sinistro	trágico
esferal	esférico
contaminar	infeccionar
pejo	rubidez
possuir	ter
inchamento	tumefação
dissuadidor	dissuasor
enfumar	enfumarar
encruecer-se	escabritar-se
desadormecer	espreguiçar
endividado	oberado
soar	tocar
afetar	irritar
sufocador	sufocativo
escravizado	subjugado
provisoriamente	temporariamente
arquitetar	traçar
andejo	errático
comedido	regrado
duna	médão
auditor	ouvidor
desarborizar	desmoutar
narigão	narigudo
transcrito	translato
ironia	sarcasmo
contorno	volta
rachada	tacada
sobredito	supracitado
herdar	legar
baldear-se	passar-se
comedidamente	prudentemente
tafulhar	atapulhar
desmedra	desmedramento
instalação	instauração
escora	espeque
alucinógeno	tóxico
extra-regimental	extra-regulamentar
polvilhamento	polvilhação
nauseativo	nauseoso
amarronzado	acastanhado
vidrilhos	avelórios
parasitação	parasitismo
artiguete	artiguelho
camilha	espreguiçadeira
radioso	rebrilhante
lânguido	sensual
fruir	ter
esporear	inflamar
acoar-se	filtrar-se
rosa	róseo
empedernimento	empedrenimento
salsão	aipo
guarnecer	provisionar
achamegado	apaixonado
ouriçar-se	hispidar-se
cacete	cachamorra
alistar-se	escrever-se
rimbombância	trovão
impaciência	pressa
boiada	manada
menear-se	mexer-se
percevejo	tacha
pressago	presciente
abatedouro	matadouro
veranito	veranico
manuseamento	manuseio
coperniciano	copernicano
substanciar	tratar
tumefeito	tumescente
retundir	temperar
moléstia	retalhação
desfear-se	desguarnecer-se
mordaça	fiscela
adorno	guarnecimento
apreciador	estudioso
malsinação	perversão
escaninho	reconditório
perversivo	pervertedor
lucente	luzente
implicador	implicante
picar	requeimar
traça	traçado
expiração	vencimento
osteófago	ossívoro
aleijador	amputador
imperturbável	inalterável
porfia	renitência
esgorjado	desgorjado
climatizar	habituar
dessagrar	profanar
quermesse	real
rascar	unhar
fluxo	movimento
montuoso	montoso
estiolar-se	queimar
divinação	prenunciação
clamador	gritador
louçainhar	pracear
apenso	suspenso
descendente	rebentão
empavonear-se	envaidecer-se
camisinha	preventivo
resplandor	resplendência
vigota	sarrafão
pisoagem	pisoamento
quebradouro	quebradoiro
cuneado	cuneano
bissociação	trocado
bocejador	bocejante
destravar	desfrear
tetraédrico	tetraedral
repugnar-se	nausear-se
carícia	quitute
esmamalhado	esmamaçado
recosto	respaldo
recortar	sobretecer
doiração	douração
bico	chucha
embambecer	esbambear
impontualidade	retarde
escamento	escamoso
atirar	disparar
ciumada	ciumaria
entrançamento	entrelaçamento
goleta	sorvo
eclosão	incremento
soada	sussurro
aconchegante	aconchegativo
inalar	tomar
emblemático	simbólico
miserável	sovina
mungir	ordenhar
ourejar	ourar
escancarado	escâncaro
deduzível	descontável
xalemanta	xale
garavato	gravato
especialista	mestre
atualizar-se	modernizar-se
mão-cheia	maunça
superintender	supervisionar
apercebimento	aviso
afogadela	pressa
descompor	revirar
aliciante	aliciatório
desconvencer	despersuadir
adminicular	sustentar
exercitado	treinado
como	quão
divulgado	revelado
remuneração	restituição
asfixiante	asfíxico
despachado	diligente
escoimar	expurgar
gentilismo	paganismo
tinelo	refeitório
segurar-se	suportar-se
defrontar-se	enfrentar-se
culpado	responsável
admirar-se	mirar-se
gingada	gingo
relvejar	arrelvar
treino	treinamento
enliçado	fraudado
abreviatura	miniatura
competitividade	rivalidade
debruçar-se	enconchar-se
cosmo	cosmos
batina	samarra
recalcitrante	testudo
sapequismo	sapequice
zurrar	ornejar
homossexualismo	inversão
amortalhar	enterrar
potril	poldril
religiosamente	devotamente
instaurar	organizar
espanador	espanejador
domesticidade	mansidão
painel	palco
outonado	outonal
vaticinado	previsto
oficiosidade	obsequiosidade
cariciativo	fagueiro
encaixamento	encasamento
desencamisar	escamisar
pestilencial	pestilente
inescrutabilidade	insondabilidade
imantação	magnetização
gabarolice	orgulho
coçadura	esfregadela
medíocre	vulgar
rodopelo	rodopio
altanado	alterado
incomplexivo	simples
tétrico	triste
modornar	nausear
indestrutível	indelével
governança	governo
lavandaria	tinturaria
desmoitado	desmoutado
filamentar	filamentoso
inteligente	sagaz
festival	festivo
sarapintar-se	salpicar-se
grandevo	velho
fumeante	fumegante
badejo	abadiva
ambílevo	ambissinistro
obesidade	rotundidade
dissímil	dessemelhante
acairelador	agaloador
reticulado	reticular
decorativo	decoral
interlinear	sublinear
ascensível	ascendente
luzimento	refulgência
hospedar-se	instalar-se
dotação	verba
lascado	rachado
azulejador	ladrilheiro
criminalista	penalista
fatura	labor
sentença	verdade
escrupulosidade	meticulosidade
cubóide	cubiforme
megascópico	macroscópico
radicela	raigota
chanfrar	recortar
apalpar	farejar
canhembora	mocambeiro
proliferar	prolificar
avérneo	infernal
animalizar	bestificar
rasgar	transpor
protrair	temporizar
elevar-se	nobilitar-se
expedição	remessa
descravizar	resgatar
mal-acostumado	mal-habituado
fluência	fluidez
infortuna	revés
intermissão	intervalo
cândido	melindroso
traumatizar-se	ulcerar-se
lastrear	propagar-se
alhanar-se	aplanar-se
tubagem	tubulação
unissonância	cotidianidade
arborização	arvoragem
arraigar	implantar
cinegráfico	cinematográfico
assoldado	salariado
superestimar	maximizar
desbrochar	germinar
esmadrigar	perder-se
vez	viravolta
azebrado	azinabrado
encorujar-se	sepultar-se
rastro	relheira
desalumiado	desiluminado
cetíneo	cetinoso
extensivo	lato
mochar	desmochar
medra	medrança
garranchudo	garranchoso
complacência	piedade
mandrianar	suciar
apatetar	entontecer
surrupiar	unhar
republicado	reeditado
aspeto	cara
desgrudar-se	saltar
comunização	socialização
solver-se	exsolver-se
dobro	duplo
reconforto	conforto
coletivização	comunização
bocadinho	pedaço
langoroso	volutuoso
fortunoso	venturoso
raspa	rasura
caracol	cacho
endurecer	revitalizar
entusiamar	triunfar
nhapango	mestiço
franqueza	veracidade
quebrável	rúptil
dípode	bípede
torpitude	sordidez
apadrinhar	soprar
atabafado	enroupado
estrelar	fuzilar
postulado	rogado
belzebútico	satânico
estomentar	tasquinhar
enfustar	especar
espojadoiro	espojeiro
menosprezador	desprezador
banhadal	marnel
imprudência	irreflexão
caminheiro	caminhante
semivivo	semimorto
corrugar	encoscorar
semelhante	símile
matizar-se	iriar-se
lactômetro	pesa-leite
brique	tijolo
usufruto	gozo
fascinar	maravilhar
circunscrever	costear
inamovível	irremovível
móbil	motivo
azedamento	coalhadura
felpo	cotão
lauda	página
vizinhar	aconchegar
centena	cento
quatro-cantos	quatro-cantinhos
enlouquecedor	endoudecedor
verde-montanha	verde-negro
ensoar	enveredar
bebidas	bebes
jogado	prostrado
perfumado	perfumoso
caramelo	geada
pítia	pitonisa
hepático	jecorário
fissurar	render
cilígero	cilífero
elusivo	esquivo
acuminar	amolar
reclinar	recostar
especificar	precisar
sarandear	sururucar
atordoante	aturdidor
edulcoração	dulcificação
agito	alvorotamento
berregar	expluir
operativo	produtivo
turturinar	arrular
servir-se	usar
incômodo	molestoso
cem-dobrar	centuplicar
cobrar-se	pagar-se
lavadela	enxaguadela
lampeiro	serelepe
frutígero	frutificativo
acefalia	acefalismo
rezar	rogar
insusceptível	insuscetível
desestimulador	desestimulante
terso	lustroso
desabafar-se	desagasalhar-se
uauaçuzal	babaçuzal
condimentício	condimentoso
destruir-se	devorar-se
sem-vergonhice	vileza
diamantino	diamântico
igrejinha	panela
legitimador	legitimativo
despersuasão	dissuasão
sedicioso	sublevador
contingente	transitório
pétreo	petroso
formado	graduado
diplomado	formado
diminuição	inacumulação
espandongar	romper
nevoaça	nevoeiro
estranheza	surpresa
inibição	timidez
abezerrado	emburrado
perverter-se	putrificar-se
acotovelar	esporar
aconsoantar	rimar
vedo	vedação
apachorrar-se	afleumar-se
acercar-se	aconchegar-se
sumamente	sumariamente
derrogar	revogar
corretor	intercessor
entroixo	entrouxo
decoro	recato
despolarizável	depolarizável
desenlodado	deslodado
unção	sagração
fotografar	retratar
co-autoria	co-produção
encabular	perseguir
inexperto	novel
desatentamente	descuidadosamente
esburacar-se	furar-se
esquivez	recusa
ameninado	menineiro
aceração	aceragem
cilindriforme	roliço
abugalhar	esgazear
estruturar	ordenar
moralizador	moralizante
globosidade	rotundidade
intimado	emprazado
apassionar-se	enamorar-se
afogar	dependurar
espuma	escuma
ajudar	servir
circunscrição	demarcação
papelocracia	burocracia
serirário	serial
abrandar	desempedernecer
excrescencial	excrescente
dessalificar	dessalinizar
manifesto	óbvio
através	transversalmente
ápode	ápodo
desmoitar	humanar
abaulado	acurvado
senha	recibo
hemisfério	semi-esfera
volutuoso	erótico
desrugado	desenrugado
apaziguador	pacificador
pegar-se	rinhar
eólio	eólico
cataplasmado	enfermiço
laudável	louvável
colmilho	presa
educando	tirão
alhanado	igualado
clichê	lugar-comum
equivocadamente	ambiguamente
preservativo	preventivo
incisivo	incisor
desnutrição	subalimentação
grenha	selva
adinheirar	adornar
argiloso	argiláceo
maranhar	perturbar
desentronizar	escoroar
barateamento	barateio
anti-semítico	anti-semita
monopolização	açambarque
fumigação	incensação
despentear-se	escabelar-se
rastejador	rastejante
seminário	simpósio
eletrônico	electrônico
futucar	zarelhar
arvicultor	agrícola
excelência	magnificência
impureza	sujidade
grampear	grampar
fanfarronar	pespontar
credenciar	habilitar
pelintrismo	pulhice
fanado	torrado
colméia	enxame
consagrar	sacramentar
diplomação	formação
compensar	pagar
rustiqueza	grosseria
descobridor	explorador
argilóide	argiliforme
desaprovado	rejeitado
desbordante	transbordante
atoleiro	tijuco
eivar-se	lascar-se
cismar	suspeitar
elucidação	iluminação
anonadar	nulificar
agregável	cooptável
disponível	livre
twist	tuíste
emurado	vedado
individualizador	individualizante
fissuramento	gretadura
púbere	pubescente
luso	português
arrimar	encostar
homocentricidade	homocentrismo
enumerável	numerável
desfranzido	desfrangido
albardeiro	abaldeiro
aselha	fivela
quinquilharia	bugiganga
soprado	insuflado
palatal	palatinal
toirejão	tourejão
arroio	ribeiro
metodizado	sistemático
cio	estro
espremido	premido
arrojo	lançamento
arruivado	ruivacento
desedificativo	desedificante
mente	senso
abastardar	bastardar
avassalante	avassalador
labutar	trabalhar
compatrício	compatriota
amealhado	amontoado
alegre	travesso
